"Date Time, GMT-07:00";"Temp, °F";"Temp, °F";"Coupler Detached";"Coupler Attached";"Host Connected";"End Of File"
10/08/18 14:00:00;69.557;69.771;Logged;;;
10/08/18 15:00:00;68.313;68.571;;;;
10/08/18 16:00:00;43.624;43.900;;;;
10/08/18 17:00:00;46.256;47.109;;;;
10/08/18 18:00:00;45.534;45.806;;;;
10/08/18 19:00:00;42.755;42.892;;;;
10/08/18 20:00:00;41.787;41.832;;;;
10/08/18 21:00:00;43.259;43.808;;;;
10/08/18 22:00:00;46.841;47.334;;;;
10/08/18 23:00:00;50.488;50.886;;;;
10/08/19 00:00:00;50.886;51.895;;;;
10/08/19 01:00:00;50.886;51.984;;;;
10/08/19 02:00:00;50.664;51.764;;;;
10/08/19 03:00:00;50.356;51.413;;;;
10/08/19 04:00:00;49.959;51.017;;;;
10/08/19 05:00:00;49.561;50.621;;;;
10/08/19 06:00:00;49.161;50.135;;;;
10/08/19 07:00:00;48.717;49.649;;;;
10/08/19 08:00:00;48.360;49.204;;;;
10/08/19 09:00:00;49.204;50.621;;;;
10/08/19 10:00:00;51.544;52.860;;;;
10/08/19 11:00:00;54.952;55.299;;;;
10/08/19 12:00:00;53.951;53.776;;;;
10/08/19 13:00:00;52.686;52.641;;;;
10/08/19 14:00:00;53.733;54.734;;;;
10/08/19 15:00:00;55.776;55.386;;;;
10/08/19 16:00:00;51.413;59.616;;;;
10/08/19 17:00:00;49.294;58.582;;;;
10/08/19 18:00:00;49.073;57.850;;;;
10/08/19 19:00:00;46.796;54.387;;;;
10/08/19 20:00:00;45.986;50.886;;;;
10/08/19 21:00:00;45.307;47.959;;;;
10/08/19 22:00:00;44.310;45.082;;;;
10/08/19 23:00:00;43.808;43.763;;;;
10/08/20 00:00:00;43.488;42.984;;;;
10/08/20 01:00:00;42.984;42.341;;;;
10/08/20 02:00:00;42.064;41.787;;;;
10/08/20 03:00:00;42.478;41.463;;;;
10/08/20 04:00:00;42.478;40.998;;;;
10/08/20 05:00:00;41.693;40.858;;;;
10/08/20 06:00:00;40.719;40.719;;;;
10/08/20 07:00:00;40.392;40.672;;;;
10/08/20 08:00:00;40.811;41.740;;;;
10/08/20 09:00:00;40.951;43.579;;;;
10/08/20 10:00:00;40.485;46.526;;;;
10/08/20 11:00:00;40.298;46.256;;;;
10/08/20 12:00:00;41.601;48.583;;;;
10/08/20 13:00:00;41.463;50.974;;;;
10/08/20 14:00:00;42.616;52.903;;;;
10/08/20 15:00:00;43.167;54.561;;;;
10/08/20 16:00:00;44.991;57.592;;;;
10/08/20 17:00:00;42.847;54.343;;;;
10/08/20 18:00:00;42.247;51.237;;;;
10/08/20 19:00:00;43.990;51.062;;;;
10/08/20 20:00:00;42.525;49.116;;;;
10/08/20 21:00:00;39.454;44.809;;;;
10/08/20 22:00:00;40.204;41.740;;;;
10/08/20 23:00:00;39.596;39.830;;;;
10/08/21 00:00:00;39.690;39.877;;;;
10/08/21 01:00:00;39.407;38.700;;;;
10/08/21 02:00:00;38.842;36.795;;;;
10/08/21 03:00:00;37.942;35.443;;;;
10/08/21 04:00:00;38.606;36.217;;;;
